Title,Location,Company,Salary_per_year,Summary
Digital HW Verification & Design Engineer,Valbonne (06),NXP Semiconductors,None,"(NASDAQ: NXPI) enables secure connections and infrastructure for a smarter world, advancing solutions that make lives easier, better, and safer."
Ingénieur FPGA expérimenté H/F,Île-de-France,Ametra,None,"Fort de ses 40 années d’expérience, le Groupe AMETRA accompagne aujourd’hui ses clients, de la conception à l’intégration d’équipements industriels innovants,…"
Ingénieur Traitement du Signal Modem F/H — 092020/PST/KQN,Toulouse (31),SERMA INGENIERIE,None,"Dans le cadre du développement de nos activités, nous recrutons un(e) Ingénieur(e) Traitement du signal Modem (F/H)."
Ingénieur Test et Validation Electronique- Tours F/H,Tours (37),MCA GROUPE,None,"Au sein du département ferroviaire, vous intégrez une équipe projet intervenant en test et validation."
Ingénieur(e) conception FPGA/ASIC expérimenté(e) H/F H/F,Toulouse (31),Expleo,None,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale."
Lead HW Engineer,Sophia Antipolis (06),IC Resources,None,"Salary: €55,000 - €80,000 depending on experience level."
Ingénieur.e Responsable Sous-traitance ASIC/FPGA (WPM) H/F,Toulouse (31),Thales Group,None,"Acteur spatial mondialement reconnu dans les domaines des télécommunications, de la navigation, de l’observation de la terre, de l’exploration et de la…"
Senior Designer ASIC / Architect,Aix-en-Provence (13),Sept Lieues,50000,"Entreprise internationale innovante dans le domaine des interfaces à haut débit (PCIe, Gen-Z…)."
Digital HW Verification Engineer,Caen (14),NXP Semiconductors,None,"(NASDAQ: NXPI) enables secure connections and infrastructure for a smarter world, advancing solutions that make lives easier, better, and safer."
Ingénieur.e conception FPGA/SoC – H/F,Toulouse (31),Thales Group,None,"Acteur spatial mondialement reconnu dans les domaines des télécommunications, de la navigation, de l’observation de la terre, de l’exploration et de la…"
Ingénieur(e) en Conception Numérique - DFT F/H,Sophia Antipolis (06),CELAD,40000,"Au sein de l’équipe de l'équipe de Design, vous aurez pour mission de créer et mettre en place le DFT sur des ASICs digitaux/mixtes :"
Chef de projet en microélectronique H/F,Meylan (38),DOLPHIN DESIGN,None,"Dolphin Design, connu précédemment sous le nom de Dolphin Integration, est une PME dans le domaine du semi-conducteur, employant 160 personnes dont 140…"
Ingénieur.e conception cartes numériques – H/F,Toulouse (31),Thales Group,None,"Acteur spatial mondialement reconnu dans les domaines des télécommunications, de la navigation, de l’observation de la terre, de l’exploration et de la…"
INGENIEUR SUPPORT ENGINEERING EN CARACTERISATION F/H,Grenoble (38),LYNRED,None,"Rattaché(e) au responsable du département Caractérisation et Instrumentation Microbolomètre, votre mission principale sera d'assurer l'expertise technique de la…"
Comptable - Chargé de Reporting H/F,France,ASICS,None,"En tant que marque multisports (ASICS, Onitsuka Tiger, ASICS Tiger), ASICS propose une très belle gamme de chaussures, de vêtements et d'accessoires ; et est l…"
Senior Key Account Manager - Strategic Account (H/F),Lattes (34),Asics,None,"ASICS, acronyme du latin « Anima Sana in Corpore Sano », est le reflet de notre vision et ce en quoi nous croyons."
Ingénieur(e) Conception FPGA Confirmé(e) H/F,Toulouse (31),LGM Group,None,"LGM Ingénierie, filiale du Groupe LGM (1 400 collaborateurs), est une société spécialisée dans l’étude, la conception, le développement, la qualification et la…"
Ingénieur(e) Conception FPGA H/F - Toulouse,Toulouse (31),LGM Group,None,"LGM Ingénierie, filiale du Groupe LGM (1 400 collaborateurs), est une société spécialisée dans l’étude, la conception, le développement, la qualification et la…"
Ingénieur Design et Back-End ASIC F/H,Rennes (35),SECURE-IC SAS,None,"En tant qu'Ingénieur Design et Back-End ASIC (H/F), vous participerez au développement du portefeuille d’IP cores de Secure-IC en assurant les différentes…"
Designer IP Core FPGA / ASIC,Aix-en-Provence (13),Sept Lieues,35000,Startup spécialisée dans la conception d'IP cores FPGA et ASIC complexes.
RTL Design Engineer,Marseille (13),IC Resources,None,"Senior RTL Designer – Beautiful location of Aix-en-Provence, France – Fab Technology!!"
Ingénieur.e Software Embarqué,Paris (75),AnotherBrain,None,AnotherBrain développe une nouvelle génération d’intelligence artificielle : Organic AITM.
Architecte ASIC numérique complexe – H/F,Toulouse (31),Thales Group,None,"Acteur spatial mondialement reconnu dans les domaines des télécommunications, de la navigation, de l’observation de la terre, de l’exploration et de la…"
